authors,comments,cover,isbn,pubdate,publisher,rating,series,series_index,tags,title,id
William Shakespeare,"Henry IV sits on a usurped throne, his conscience and his nobles in revolt, while his son Hal is immersed in a self-indulgent life of revelry with the notorious Sir John Falstaff. Shakespeare explores questions of kingship and honor in this masterly mingling of history, comedy, and tragedy.  Under the editorial supervision of Jonathan Bate and Eric Rasmussen, two of today’s most accomplished Shakespearean scholars, this Modern Library series incorporates definitive texts and authoritative notes from William Shakespeare: Complete Works. Each play includes an Introduction as well as an overview of Shakespeare’s theatrical career; commentary on past and current productions based on interviews with leading directors, actors, and designers; scene-by-scene analysis; key facts about the work; a chronology of Shakespeare’s life and × and black-and-white illustrations.  Ideal for students, theater professionals, and general readers, these modern and accessible editions from the Royal Shakespeare Company set a new standard in Shakespearean literature for the twenty-first century.",C:\Users\Joao\Calibre Library\William Shakespeare\Henry IV (18)\cover.jpg,9780812969245,2009-02-15T12:53:12+00:00,Modern Library,,,1.0,"Literary Criticism, Irish, Plays, General, Drama, 1564-1616, Scottish, Shakespeare, Great Britain, English, William, Welsh",Henry IV,18
William Shakespeare,"&quot;I feel that I have spent half my career with one or another Pelican Shakespeare in my back pocket. Convenience, however, is the least important aspect of the new Pelican Shakespeare series. Here is an elegant and clear text for either the study or the rehearsal room, notes where you need them and the distinguished scholarship of the general editors, Stephen Orgel and A. R. Braunmuller who understand that these are plays for performance as well as great texts for contemplation.&quot; —Patrick Stewart  The distinguished Pelican Shakespeare series, which has sold more than four million copies, is now completely revised and repackaged.  Each volume features: * Authoritative, reliable texts * High quality introductions and notes * New, more readable trade trim size * An essay on the theatrical world of Shakespeare and essays on Shakespeare&#39;s life and the selection of texts",C:\Users\Joao\Calibre Library\William Shakespeare\Hamlet (19)\cover.jpg,9780140714548,2001-02-15T12:51:54+00:00,Penguin Books,,,1.0,"General, Drama, 1564-1616, Scottish, Hamlet, Plays, Irish, Arts & Humanities, Kings and rulers - Succession, Literature: Classics, Hamlet (Legendary character), Kings and rulers, William, Welsh, Literary Criticism, Hamlet - Drama., School Textbooks & Study Guides: Literature, Princes, English literature: literary criticism, texts, English, Tragedies, Succession, Revenge, Fathers - Death, Fathers, Murder victims' families, Denmark, Shakespeare, Shakespeare plays",Hamlet,19
William Burroughs,"A literary landmark and the most shocking novel in the English language, William Burroughs’ ‘Naked Lunch’ is an exhilarating ride into the darkest recesses of the human psyche. Meet Bradley the Buyer, the best narcotics agent in the business. Say hello to Dr ‘Fingers’ Schafer, the Lobotomy Kid, and the sadistic, manipulative Dr Benway. And then there’s our narrator, Bill Lee, an Ivy League-educated narcotics addict. This is the story of Bill’s flight south from New York to a drug-and-sex-soaked retreat in Tangiers, where ambiguous Good and enticing Evil vie for the human soul. Welcome to Interzone ... ‘Naked Lunch’ is a masterpiece of modern literature by the godfather of the Beat writers: as provocative and mordantly funny today as it was in 1959.",C:\Users\Joao\Calibre Library\William Burroughs\Naked Lunch_ The Restored Text (20)\cover.jpg,9780007379859,2012-05-31T14:13:21+01:00,HarperCollins UK,,,1.0,"Classic fiction (pre c 1945), Modern fiction, Life on other planets, Narcotic addicts, General, Adventure, Drug withdrawal symptoms, French, Alienation (Social psychology), Literature - Classics, Psychological fiction, Drug addicts, Criticism, General & Literary Fiction, Erotic stories, Modern & contemporary fiction (post c 1945), Satire, Fiction, Thriller, Drug abuse, Classic fiction, Psychological, Science fiction, Romance, Classics, Recovering addicts, Literary, Humorous",Naked Lunch: The Restored Text,20
William P. Young,"After his daughter's murder, a grieving father confronts God with desperate questions -- and finds unexpected answers -- in this riveting and deeply moving #1 NYT bestseller.When Mackenzie Allen Phillips's youngest daughter Missy is abducted during a family vacation, he remains hopeful that she'll return home. But then, he discovers evidence that she may have been brutally murdered in an abandoned shack deep in the Oregon wilderness.Four years later, in this midst of his great sadness, Mack receives a suspicious note that's supposedly from God, inviting him back to that shack for a weekend. Against his better judgment, he arrives on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change his life forever.",C:\Users\Joao\Calibre Library\William P. Young\The Shack (21)\cover.jpg,9780964729292,2008-06-20T14:31:27+01:00,Windblown Media,,,1.0,"Literary, Fiction, Christian, Romance",The Shack,21
William Makepeace Thackeray,"This eBook has been formatted to the highest digital standards and adjusted for readability on all devices. Vanity Fair follows the lives of Becky Sharp and Emmy Sedley amid their friends and families during and after the Napoleonic Wars. Becky is a strong-willed, cunning, moneyless, young woman determined to make her way in society. After leaving school, Becky stays with Emmy, who is a good-natured, simple-minded, young girl, of a wealthy London family. There, Becky meets the dashing and self-obsessed Captain George Osborne (Amelia&#39;s betrothed) and Amelia&#39;s brother Joseph Sedley, a clumsy and vainglorious but rich civil servant home from the East India Company. Hoping to marry Sedley, the richest young man she has met, Becky entices him, but she fails. George Osborne&#39;s friend Captain William Dobbin loves Amelia, but only wishes her happiness, which is centered on George.",C:\Users\Joao\Calibre Library\William Makepeace Thackeray\Vanity Fair (Unabridged) (22)\cover.jpg,9788027246366,2018-11-02T13:50:06+00:00,e-artnow,,,1.0,"Regency, England, Women, British, Waterloo, London (England), Satire, Fiction, Belgium, 1815, Historical, Married women, Female friendship, Social classes, Romance, Governesses, Battle of, Classics, Literary, Humorous",Vanity Fair (Unabridged),22
William Goldman,"William Goldman's modern fantasy classic is a simple, exceptional story about quests--for riches, revenge, power, and, of course, true love--that's thrilling and timeless. Anyone who lived through the 1980s may find it impossible--inconceivable, even--to equate The Princess Bride with anything other than the sweet, celluloid romance of Westley and Buttercup, but the film is only a fraction of the ingenious storytelling you'll find in these pages. Rich in character and satire, the novel is set in 1941 and framed cleverly as an ""abridged"" retelling of a centuries-old tale set in the fabled country of Florin that's home to ""Beasts of all natures and descriptions. Pain. Death. Brave men. Coward men. Strongest men. Chases. Escapes. Lies. Truths. Passions.""",C:\Users\Joao\Calibre Library\William Goldman\The Princess Bride_ S. Morgenstern's (23)\cover.jpg,9780156035217,2007-02-15T13:23:25+00:00,Harcourt,,,1.0,"General, Adventure fiction, Good and evil, Fiction - Fantasy, Fantasy - General, Princesses, Fiction, Historical, Princes, Romance - Fantasy, Romance, Fantasy, William - Prose & Criticism, Classics, Action & Adventure, Goldman, Love stories, Fantasy - Historical, Science Fiction And Fantasy",The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure,23
William Golding,"The 50th Anniversary Edition of the Lord of the Flies is the volume that every fan of this classic book will have to own!  Lord of the Flies remains as provocative today as when it was first published in 1954, igniting passionate debate with its startling, brutal portrait of human nature. Though critically acclaimed, it was largely ignored upon its initial publication. Yet soon it became a cult favorite among both students and literary critics who compared it to J.D. Salinger&#39;s The Catcher in the Rye in its influence on modern thought and literature.  Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies has established itself as a true classic. And now readers can own it in a beautifully designed hardcover edition worthy of its stature.",C:\Users\Joao\Calibre Library\William Golding\Lord of the Flies (24)\cover.jpg,9780399529207,2003-02-15T13:04:59+00:00,Penguin,,,1.0,"Literature - Classics, Juvenile Fiction, Fiction, Psychological fiction, Survival after airplane accidents, etc., shipwrecks, Criticism, etc, Boys, Survival after airplane accide, Regression (Psychology), Nature & the Natural World, General, Classics, Action & Adventure, Islands",Lord of the Flies,24
William Gibson & Bruce Sterling,"A brilliantly inventive alternate history by the two biggest names in Cyberpunk, Gibson and Sterling, about a 19th century computer revolution arising from the invention of Charles Babbage's Difference Engine--a forerunner of today's computer based on mechanical principles rather than electronic technology.",C:\Users\Joao\Calibre Library\William Gibson\The Difference Engine (25)\cover.jpg,9780553070286,1991-02-15T12:38:29+00:00,Bantam Books,,,1.0,"Science Fiction - High Tech, Steampunk fiction, Fiction, Science fiction, Fiction - Science Fiction, General, Fantasy fiction, American Science Fiction And Fantasy, High Tech, Science Fiction - General, Hard Science Fiction, Non-Classifiable",The Difference Engine,25
William Gibson,"Zero History - a gripping technothriller from William Gibson, the bestselling author of NeuromancerHubertus Bigend, the Machiavellian head of global ad-agency Blue Ant, wants ex-musician Hollis Henry to uncover the maker of a secret, obscurely fashionable denim called 'The Gabriel Hounds'. Hollis knows nothing about fashion - which, curiously, is why Bigend hired her. Soon, though, it's clear that Bigend's interest in underground labels might have sinister applications. Powerful parties, who'll do anything to get into this territory, are showing their hand. And Hollis, as Bigend's representative, is about to find herself in the crossfire.Set among London's dark and tangled streets, Zero History is a brilliant thriller about the hidden webs and patterns that underlie the new now.'Smart and seductive, inventive. Gibson is having tremendous fun' Independent'An ideas-swarm, coated with a hipster glaze . . . to explore the everyday weirdness of the twenty-first century world' Herald'Gibson's writing is thrillingly tight' Scarlett Thomas, New York Times Book ReviewWilliam Gibson is a prophet and a satirist, a black comedian and an outstanding architect of cool. Readers of Neal Stephenson, Ray Bradbury and Iain M. Banks will love this book. Zero History is the final novel in the Blue Ant trilogy - read Pattern Recognition and Spook Country for more.William Gibson's first novel Neuromancer sold more than six million copies worldwide. Count Zero and Mona Lisa Overdrive completed his first trilogy. He has since written six further novels, moving gradually away from science fiction and futuristic work, instead writing about the strange contemporary world we inhabit. His most recent novels include Patter Recognition, Spook Country and Zero History, his non-fiction collection. Distrust That Particular Flavor, compiles assorted writings and journalism from across his career.",C:\Users\Joao\Calibre Library\William Gibson\Zero History (26)\cover.jpg,9780141965703,2010-09-02T14:54:50+01:00,Penguin UK,,,1.0,"Suspense, Science Fiction - High Tech, Fiction, Fiction - Espionage, Thriller, Political, Mystery And Suspense Fiction, General, High Tech, Technological, Thrillers, Mystery & Detective, Hard-Boiled, Science fiction, Suspense fiction, Mystery fiction",Zero History,26
William Gibson,"Spook Country - a gripping spy thriller by William Gibson, bestselling author of NeuromancerWhat happens when old spies come out to play one last game?In New York a young Cuban called Tito is passing iPods to a mysterious old man. Such activities do not go unnoticed, however, in these early days of the War on Terror and across the city an ex-military man named Brown is tracking Tito's movements. Meanwhile in LA, journalist Hollis Henry is on the trail of Bobby Chombo, who appears to know too much about military systems for his own good. With Bobby missing and the trail cold, Hollis digs deeper and is drawn into the final moves of a chilling game played out by men with old scores to settle . . . 'A cool, sophisticated thriller' Financial Times'Among our most fascinating novelists ... unmissable' Daily Telegraph'I'd call the book brilliant and original if only I were certain I understood it' Literary Review'Superb, brilliant. A compulsive and deeply intelligent literary thriller' New Statesman'A neat, up-to-the-minute spy thriller' MetroWilliam Gibson is a prophet and a satirist, a black comedian and an outstanding architect of cool. Readers of Neal Stephenson, Ray Bradbury and Iain M. Banks will love this book. Spook Country is the second novel in the Blue Ant trilogy - read Pattern Recognition and Zero History for more.William Gibson's first novel Neuromancer sold more than six million copies worldwide. Count Zero and Mona Lisa Overdrive completed his first trilogy. He has since written six further novels, moving gradually away from science fiction and futuristic work, instead writing about the strange contemporary world we inhabit. His most recent novels include Patter Recognition, Spook Country and Zero History, his non-fiction collection. Distrust That Particular Flavor, compiles assorted writings and journalism from across his career.",C:\Users\Joao\Calibre Library\William Gibson\Spook Country (27)\cover.jpg,9780141923581,2008-07-31T14:34:33+01:00,Penguin UK,,,1.0,"Science Fiction - High Tech, Suspense, Fiction, Fiction - Science Fiction, Political, Intrigue, High Tech, Technological, General, Literary, Popular American Fiction, Thrillers, Mystery & Detective, Hard-Boiled, Espionage, Science fiction, Suspense fiction, Intelligence officers",Spook Country,27
